,No,Name,Type,Zone,TTChange,Date From,Date To,From,Dep,To,Arr,Duration,Halts,Dep Days,Classes,Distance,Speed,Return
114,54610,Amritsar - Jalandhar City Passenger (UnReserved),Pass,NR,Old TT,NULL,NULL,ASR,12:15,JUC,13:55,1h 40m,2,SMTWTFS,NULL,79 km,47 km/hr,NULL
115,59442,Ahmedabad - Mumbai Central Passenger,Pass,WR,No Speed Change,NULL,NULL,ADI,12:40,MMCT,04:35,15h 55m,72,SMTWTFS,SL 2A ,493 km,31 km/hr,59441
116,51028,Pandharpur - Mumbai CSMT Fast Passenger,Pass,CR,No Speed Change,NULL,NULL,PVR,17:25,CSMT,04:10,10h 45m,27,S    FS,SL ,426 km,40 km/hr,51027
117,51027,Mumbai CSMT - Pandharpur Fast Passenger,Pass,CR,No Speed Change,NULL,NULL,CSMT,22:55,PVR,10:30,11h 35m,24,    TFS,SL ,426 km,37 km/hr,51028
118,56910,Hosapete - KSR Bengaluru Fast Passenger,Pass,SWR,No Speed Change,NULL,NULL,HPT,14:00,SBC,05:15,15h 15m,36,SMTWTFS,SL ,530 km,35 km/hr,56909
119,56911,KSR Bengaluru - Hubballi Passenger,Pass,SWR,Slowed: 25m,NULL,NULL,SBC,22:15,UBL,10:40,12h 25m,35,SMTWTFS,SL ,470 km,38 km/hr,56912
120,59812,Haldighati Passenger,Pass,WCR,Dest Changed.,NULL,NULL,JAB,18:40,RTMN,15:35,20h 55m,64,SMTWTFS,SL ,699 km,33 km/hr,59811
121,59822,Bhind - Kota Passenger,Pass,WCR,Slowed: 30m,NULL,NULL,BIX,18:10,KOTA,09:45,15h 35m,46,SMTWTFS,SL ,493 km,32 km/hr,59821
122,56503,Bengaluru Cantt. - Vijayawada Passenger,Pass,SWR,Slowed: 10m,NULL,NULL,BNC,07:20,BZA,06:05,22h 45m,75,SMTWTFS,SL ,750 km,33 km/hr,56504
123,59013,Surat - Bhusaval Passenger,Pass,WR,No Speed Change,NULL,NULL,ST,23:35,BSL,09:15,9h 40m,29,SMTWTFS,SL ,335 km,35 km/hr,59014
124,59014,Bhusaval - Surat Passenger,Pass,WR,No Speed Change,NULL,NULL,BSL,18:25,ST,04:10,9h 45m,29,SMTWTFS,SL ,335 km,34 km/hr,59013
125,53172,Lalgola - Sealdah Passenger,Pass,ER,Speeded: 5m,NULL,NULL,LGL,22:05,SDAH,04:30,6h 25m,36,SMTWTFS,SL ,228 km,35 km/hr,53175
126,53181,Sealdah - Lalgola Passenger,Pass,ER,Speeded: 10m,NULL,NULL,SDAH,23:30,LGL,05:00,5h 30m,32,SMTWTFS,SL ,228 km,41 km/hr,53178
127,53049,Howrah - Mokama Fast Passenger,Pass,ER,Slowed: 55m,NULL,NULL,HWH,23:10,MKA,12:05,12h 55m,51,SMTWTFS,2S SL ,455 km,35 km/hr,53050
