,No,Name,Type,Zone,TTChange,Date From,Date To,From,Dep,To,Arr,Duration,Halts,Dep Days,Classes,Distance,Speed,Return
1595,58721,Abhanpur - Rajim NG Passenger (UnReserved),Pass,SECR,No TT Change,NULL,NULL,AVP,20:15,RIM,21:05,0h 50m,1,SMTWTFS,NULL,17 km,20 km/hr,58722
1596,53491,Tinpahar - Rajmahal Passenger (UnReserved),Pass,ER,No TT Change,NULL,NULL,TPH,19:10,RJL,19:35,0h 25m,0,SMTWTFS,NULL,12 km,29 km/hr,53492
1597,53523,Asansol - Barkakana Passenger (UnReserved),Pass,ER,Slowed: 50m,NULL,NULL,ASN,16:30,BRKA,23:35,7h 5m,34,SMTWTFS,NULL,189 km,27 km/hr,53524
1598,53485,Tinpahar - Rajmahal Passenger (UnReserved),Pass,ER,No Speed Change,NULL,NULL,TPH,09:50,RJL,10:18,0h 28m,0,SMTWTFS,NULL,12 km,26 km/hr,53486
1599,58719,Abhanpur - Rajim NG Passenger (UnReserved),Pass,SECR,No TT Change,NULL,NULL,AVP,08:30,RIM,09:20,0h 50m,1,SMTWTFS,NULL,17 km,20 km/hr,58720
1600,59727,Sikar - Rewari Passenger (UnReserved),Pass,NWR,Slowed: 20m,NULL,NULL,SIKR,07:30,RE,13:45,6h 15m,23,SMTWTFS,NULL,213 km,34 km/hr,59728
1601,53513,Madhupur - Giridih Passenger (UnReserved),Pass,ER,No TT Change,NULL,NULL,MDP,08:00,GRD,09:00,1h 0m,5,SMTWTFS,NULL,38 km,38 km/hr,53514
1602,53525,Barkakana - Varanasi Passenger (UnReserved),Pass,ER,Slowed: 30m,NULL,NULL,BRKA,03:30,BSB,17:40,14h 10m,63,SMTWTFS,NULL,453 km,32 km/hr,53526
1603,53514,Giridih - Madhupur Passenger (UnReserved),Pass,ER,No TT Change,NULL,NULL,GRD,09:20,MDP,10:20,1h 0m,5,SMTWTFS,NULL,38 km,38 km/hr,53513
1604,53358,Dehri On Sone - Barkakana Passenger (UnReserved),Pass,ECR,Slowed: 1h 30m,NULL,NULL,DOS,14:30,BRKA,00:15,9h 45m,43,SMTWTFS,NULL,315 km,32 km/hr,53357
1605,53517,Madhupur - Giridih Passenger (UnReserved),Pass,ER,No TT Change,NULL,NULL,MDP,16:20,GRD,17:20,1h 0m,5,SMTWTFS,NULL,38 km,38 km/hr,53518
1606,53493,Tinpahar - Rajmahal Passenger (UnReserved),Pass,ER,No TT Change,NULL,NULL,TPH,21:30,RJL,21:55,0h 25m,0,SMTWTFS,NULL,12 km,29 km/hr,53494
1607,53511,Madhupur - Giridih Passenger (UnReserved),Pass,ER,No TT Change,NULL,NULL,MDP,03:20,GRD,04:20,1h 0m,5,SMTWTFS,NULL,38 km,38 km/hr,53512
1608,55075,Siwan - Gorakhpur Passenger (Via Kaptanganj) (UnReserved),Pass,NER,Speeded: 10m,NULL,NULL,SV,03:40,GKP,10:00,6h 20m,26,SMTWTFS,NULL,165 km,26 km/hr,55076
1609,53405,Rampurhat - Sahibganj Passenger (UnReserved),Pass,ER,Slowed: 9m,NULL,NULL,RPH,07:30,SBG,11:05,3h 35m,20,SMTWTFS,NULL,133 km,37 km/hr,53406
1610,53406,Sahibganj - Rampurhat Passenger (UnReserved),Pass,ER,No Speed Change,NULL,NULL,SBG,19:25,RPH,23:30,4h 5m,20,SMTWTFS,NULL,133 km,33 km/hr,53405
1611,53512,Giridih - Madhupur Passenger (UnReserved),Pass,ER,No TT Change,NULL,NULL,GRD,04:50,MDP,05:45,0h 55m,5,SMTWTFS,NULL,38 km,41 km/hr,53513
1612,53519,Madhupur - Giridih Passenger (UnReserved),Pass,ER,No TT Change,NULL,NULL,MDP,20:55,GRD,21:50,0h 55m,5,SMTWTFS,NULL,38 km,41 km/hr,53518
1613,53487,Tinpahar - Rajmahal Passenger (UnReserved),Pass,ER,No Speed Change,NULL,NULL,TPH,13:47,RJL,14:15,0h 28m,0,SMTWTFS,NULL,12 km,26 km/hr,53488
1614,53490,Rajmahal - Tinpahar Passenger (UnReserved),Pass,ER,No TT Change,NULL,NULL,RJL,14:55,TPH,15:20,0h 25m,0,SMTWTFS,NULL,12 km,29 km/hr,53489
1615,53483,Tinpahar - Rajmahal Passenger (UnReserved),Pass,ER,No TT Change,NULL,NULL,TPH,05:45,RJL,06:10,0h 25m,0,SMTWTFS,NULL,12 km,29 km/hr,53484
1616,54560,Fazilka - Bathinda Passenger (UnReserved),Pass,NR,Slowed: 30m,NULL,NULL,FKA,13:00,BTI,16:35,3h 35m,10,SMTWTFS,NULL,116 km,32 km/hr,54559
1617,53484,Rajmahal - Tinpahar Passenger (UnReserved),Pass,ER,No TT Change,NULL,NULL,RJL,04:35,TPH,05:00,0h 25m,0,SMTWTFS,NULL,12 km,29 km/hr,53483
1618,53482,Rajmahal - Tinpahar Passenger (UnReserved),Pass,ER,No TT Change,NULL,NULL,RJL,02:00,TPH,02:25,0h 25m,0,SMTWTFS,NULL,12 km,29 km/hr,53481
1619,53481,Tinpahar - Rajmahal Passenger (UnReserved),Pass,ER,No TT Change,NULL,NULL,TPH,03:50,RJL,04:15,0h 25m,0,SMTWTFS,NULL,12 km,29 km/hr,53484
1620,53488,Rajmahal - Tinpahar Passenger (UnReserved),Pass,ER,No TT Change,NULL,NULL,RJL,12:00,TPH,12:25,0h 25m,0,SMTWTFS,NULL,12 km,29 km/hr,53487
1621,53515,Madhupur - Giridih Passenger (UnReserved),Pass,ER,No TT Change,NULL,NULL,MDP,12:15,GRD,13:15,1h 0m,5,SMTW FS,NULL,38 km,38 km/hr,53516
1622,53516,Giridih - Madhupur Passenger (UnReserved),Pass,ER,No TT Change,NULL,NULL,GRD,13:35,MDP,14:35,1h 0m,5,SMTW FS,NULL,38 km,38 km/hr,53515
1623,53023,Azimganj - Rampurhat Passenger (UnReserved),Pass,ER,No Speed Change,NULL,NULL,AZ,05:40,RPH,07:35,1h 55m,9,SMTWTFS,NULL,59 km,31 km/hr,53008
1624,53024,Rampurhat - Azimganj Passenger (UnReserved),Pass,ER,No Speed Change,NULL,NULL,RPH,22:25,AZ,00:05,1h 40m,8,SMTWTFS,NULL,59 km,36 km/hr,53031
1625,53434,Barharwa - Azimganj Passenger (UnReserved),Pass,ER,Slowed: 5m,NULL,NULL,BHW,14:20,AZ,17:10,2h 50m,17,SMTWTFS,NULL,96 km,34 km/hr,53433
1626,53433,Azimganj - Barharwa Passenger (UnReserved),Pass,ER,No Speed Change,NULL,NULL,AZ,08:40,BHW,11:55,3h 15m,17,SMTWTFS,NULL,96 km,29 km/hr,53434
1627,53028,Malda Town - Azimganj Passenger (UnReserved),Pass,ER,No Speed Change,NULL,NULL,MLDT,07:10,AZ,11:00,3h 50m,20,SMTWTFS,NULL,115 km,30 km/hr,53027
1628,53027,Azimganj - Malda Town Passenger (UnReserved),Pass,ER,No Speed Change,NULL,NULL,AZ,16:05,MLDT,19:45,3h 40m,20,SMTWTFS,NULL,115 km,31 km/hr,53028
1629,51184,Narkher - Bhusaval Passenger (via New Amravati) (UnReserved),Pass,CR,No Speed Change,NULL,NULL,NRKR,09:15,BSL,18:55,9h 40m,33,SMTWTFS,NULL,357 km,37 km/hr,51183
1630,59801,Jaipur - Phulera Passenger (UnReserved),Pass,WCR,Speeded: 40m,NULL,NULL,JP,20:05,FL,21:10,1h 5m,4,SMTWTFS,NULL,55 km,50 km/hr,59802
1631,53408,Jamalpur - Rampurhat Passenger (UnReserved),Pass,ER,Speeded: 45m,NULL,NULL,JMP,14:05,RPH,22:05,8h 0m,45,SMTWTFS,NULL,260 km,33 km/hr,53403
1632,53489,Tinpahar - Rajmahal Passenger (UnReserved),Pass,ER,No TT Change,NULL,NULL,TPH,16:20,RJL,16:45,0h 25m,0,SMTWTFS,NULL,12 km,29 km/hr,53490
1633,51317,Panvel - Pune Passenger (UnReserved),Pass,CR,Src Changed.,NULL,NULL,PNVL,14:25,PUNE,18:10,3h 45m,21,SMTWTFS,NULL,120 km,32 km/hr,51318
1634,51318,Pune - Panvel Passenger (UnReserved),Pass,CR,Dest Changed.,NULL,NULL,PUNE,09:05,PNVL,13:45,4h 40m,22,SMTWTFS,NULL,120 km,26 km/hr,51317
1635,59821,Kota - Bhind Passenger,Pass,WCR,Speeded: 20m,NULL,NULL,KOTA,22:25,BIX,14:40,16h 15m,41,SMTWTFS,SL ,493 km,30 km/hr,59822
1636,59425,Gandhidham - Palanpur Passenger (UnReserved),Pass,WR,Src Changed.,NULL,NULL,GIMB,06:00,PNU,13:00,7h 0m,31,SMTWTFS,NULL,301 km,43 km/hr,59426
1637,59426,Palanpur - Gandhidham Passenger (UnReserved),Pass,WR,Dest Changed.,NULL,NULL,PNU,20:00,GIMB,03:05,7h 5m,31,SMTWTFS,NULL,301 km,42 km/hr,59425
1638,53486,Rajmahal - Tinpahar Passenger (UnReserved),Pass,ER,No TT Change,NULL,NULL,RJL,06:30,TPH,06:55,0h 25m,0,SMTWTFS,NULL,12 km,29 km/hr,53485
1639,56388,Kayamkulam - Ernakulam Passenger(via Kottayam) (UnReserved),Pass,SR,Slowed: 10m,NULL,NULL,KYJ,17:05,ERS,20:10,3h 5m,15,SMTWTFS,NULL,115 km,37 km/hr,56387
1640,57478,Kadiridevarapalli - Tirupati Passenger,Pass,SCR,No Speed Change,NULL,NULL,KRYP,13:25,TPTY,06:20,16h 55m,42,SMTWTFS,SL ,538 km,32 km/hr,57477
1641,57477,Tirupati - Kadiridevarapalli Passenger,Pass,SCR,Speeded: 25m,NULL,NULL,TPTY,22:55,KRYP,13:05,14h 10m,39,SMTWTFS,SL ,538 km,38 km/hr,57478
1642,58301,Sambalpur - Koraput Passenger (UnReserved),Pass,ECoR,Slowed: 25m,NULL,NULL,SBP,06:45,KRPU,22:25,15h 40m,40,SMTWTFS,NULL,496 km,32 km/hr,58302
1643,58302,Koraput - Sambalpur Passenger (UnReserved),Pass,ECoR,No Speed Change,NULL,NULL,KRPU,03:00,SBP,18:00,15h 0m,40,SMTWTFS,NULL,496 km,33 km/hr,58301
1644,57690,Kacheguda - Nizamabad Passenger (UnReserved),Pass,SCR,No Speed Change,NULL,NULL,KCG,09:50,NZB,13:55,4h 5m,14, MTWTFS,NULL,166 km,41 km/hr,57689
1645,57688,Kacheguda - Nizamabad Passenger (UnReserved),Pass,SCR,Slowed: 5m,NULL,NULL,KCG,18:50,NZB,23:45,4h 55m,9,SMTWTFS,NULL,166 km,34 km/hr,57687
1646,57689,Nizamabad - Kacheguda Passenger (UnReserved),Pass,SCR,No Speed Change,NULL,NULL,NZB,05:00,KCG,09:25,4h 25m,10, MTWTFS,NULL,166 km,38 km/hr,57690
1647,57687,Nizamabad - Kacheguda Passenger (UnReserved),Pass,SCR,No TT Change,NULL,NULL,NZB,14:25,KCG,18:30,4h 5m,12,SMTWTFS,NULL,166 km,41 km/hr,57688
1648,53171,Sealdah - Lalgola Passenger (UnReserved),Pass,ER,No Speed Change,NULL,NULL,SDAH,03:45,LGL,09:35,5h 50m,38,SMTWTFS,NULL,228 km,39 km/hr,53176
1649,55468,Bamanhat - Siliguri Passenger (UnReserved),Pass,NFR,Slowed: 40m,NULL,NULL,BXT,09:20,SGUJ,18:50,9h 30m,32,SMTWTFS,NULL,233 km,25 km/hr,55467
1650,55467,Siliguri - Bamanhat Passenger (UnReserved),Pass,NFR,Slowed: 10m,NULL,NULL,SGUJ,07:15,BXT,15:40,8h 25m,32,SMTWTFS,NULL,233 km,28 km/hr,55468
1651,53176,Lalgola - Sealdah Passenger (UnReserved),Pass,ER,Speeded: 17m,NULL,NULL,LGL,07:15,SDAH,12:45,5h 30m,34,SMTWTFS,NULL,228 km,41 km/hr,53171
1652,53005,Katwa - Azimganj Passenger (UnReserved),Pass,ER,Speeded: 5m,NULL,NULL,KWAE,08:10,AZ,10:20,2h 10m,15,SMTWTFS,NULL,73 km,34 km/hr,53006
1653,53009,Katwa - Azimganj Passenger (UnReserved),Pass,ER,No Speed Change,NULL,NULL,KWAE,11:55,AZ,14:00,2h 5m,17,SMTWTFS,NULL,73 km,35 km/hr,53012
1654,53011,Katwa - Azimganj Passenger (UnReserved),Pass,ER,No Speed Change,NULL,NULL,KWAE,14:00,AZ,16:00,2h 0m,14,SMTWTFS,NULL,73 km,36 km/hr,53014
1655,53013,Katwa - Azimganj Passenger (UnReserved),Pass,ER,Slowed: 5m,NULL,NULL,KWAE,15:55,AZ,18:00,2h 5m,16,SMTWTFS,NULL,73 km,35 km/hr,NULL
1656,53015,Katwa - Azimganj Passenger (UnReserved),Pass,ER,No Speed Change,NULL,NULL,KWAE,18:45,AZ,20:45,2h 0m,14,SMTWTFS,NULL,73 km,36 km/hr,53016
1657,53435,Katwa - Azimganj Passenger (UnReserved),Pass,ER,Speeded: 10m,NULL,NULL,KWAE,05:55,AZ,08:05,2h 10m,17,SMTWTFS,NULL,73 km,34 km/hr,53436
1658,53436,Azimganj - Katwa Passenger (UnReserved),Pass,ER,Speeded: 10m,NULL,NULL,AZ,18:40,KWAE,20:55,2h 15m,16,SMTWTFS,NULL,73 km,32 km/hr,53435
1659,58024,Barkakana - Tatanagar Passenger (UnReserved),Pass,SER,No Speed Change,NULL,NULL,BRKA,04:30,TATA,10:30,6h 0m,24,SMTWTFS,NULL,161 km,27 km/hr,58023
1660,55909,Simaluguri - Dibrugarh Town Passenger (UnReserved),Pass,NFR,No Speed Change,NULL,NULL,SLGR,06:35,DBRT,09:15,2h 40m,11, MTWTFS,NULL,100 km,37 km/hr,55910
1661,55910,Dibrugarh Town - Simaluguri Passenger (UnReserved),Pass,NFR,Slowed: 30m,NULL,NULL,DBRT,16:45,SLGR,19:55,3h 10m,11, MTWTFS,NULL,100 km,32 km/hr,55909
1662,55074,Gorakhpur - Narkatiaganj Passenger (Via Kaptanganj) (UnReserved),Pass,NER,Slowed: 15m,NULL,NULL,GKP,23:00,NKE,03:45,4h 45m,12,SMTWTFS,NULL,150 km,31 km/hr,55073
1663,55072,Gorakhpur - Narkatiaganj Passenger (Via Kaptanganj) (UnReserved),Pass,NER,Slowed: 40m,NULL,NULL,GKP,07:10,NKE,12:45,5h 35m,19,SMTWTFS,NULL,150 km,27 km/hr,55071
1664,55340,Mathura - Kasganj Passenger (UnReserved),Pass,NER,Slowed: 10m,NULL,NULL,MTJ,21:00,KSJ,23:35,2h 35m,5,SMTWTFS,NULL,105 km,41 km/hr,55339
1665,08426,Puri- Kendujhargarh Rath Yatra Passenger Special (UnReserved),Pass,ECoR,Dest Changed.,Jul 12,Jul 12,PURI,23:15,KDJR,06:00,6h 45m,0,      S,NULL,277 km,41 km/hr,08425
1666,54025,Rohtak - Panipat Passenger (UnReserved),Pass,NR,Speeded: 40m,NULL,NULL,ROK,11:55,PNP,14:00,2h 5m,4,SMTWTFS,NULL,71 km,34 km/hr,54026
1667,54026,Panipat - Rohtak Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,PNP,14:50,ROK,16:35,1h 45m,4,SMTWTFS,NULL,71 km,41 km/hr,54025
1668,52039,Nadiad - Petlad NG Passenger (UnReserved),Pass,WR,No Speed Change,NULL,NULL,ND,19:15,PTD,21:00,1h 45m,5,SMTWTFS,NULL,37 km,21 km/hr,52040
1669,52040,Petlad - Nadiad NG Passenger (UnReserved),Pass,WR,No Speed Change,NULL,NULL,PTD,06:00,ND,07:50,1h 50m,5,SMTWTFS,NULL,37 km,20 km/hr,52039
1670,54010,Narwana - Jind Passenger (UnReserved),Pass,NR,Slowed: 5m,NULL,NULL,NRW,22:55,JIND,23:45,0h 50m,3,SMTWTFS,NULL,34 km,41 km/hr,NULL
1671,56208,Mysuru - Chamarajanagar Passenger (UnReserved),Pass,SWR,Speeded: 10m,NULL,NULL,MYS,15:00,CMNR,16:40,1h 40m,11,SMTWTFS,NULL,60 km,36 km/hr,56207
1672,56207,Chamarajanagar - Mysuru Passenger (UnReserved),Pass,SWR,No Speed Change,NULL,NULL,CMNR,17:00,MYS,18:40,1h 40m,11,SMTWTFS,NULL,60 km,36 km/hr,56208
1673,56215,Yesvantpur -  Mysuru Passenger (Via Hassan) (UnReserved),Pass,SWR,Slowed: 35m,NULL,NULL,YPR,12:15,MYS,20:05,7h 50m,32,SMTWTFS,NULL,295 km,38 km/hr,56216
1674,56216,Mysuru - Yesvantpur Passenger (Via Hassan) (UnReserved),Pass,SWR,Slowed: 15m,NULL,NULL,MYS,07:45,YPR,15:15,7h 30m,32,SMTWTFS,NULL,295 km,39 km/hr,56215
1675,57602,Karimnagar - Kacheguda Passenger (UnReserved),Pass,SCR,Src Changed.,NULL,NULL,KRMR,14:20,KCG,23:00,8h 40m,29,SMTWTFS,NULL,309 km,36 km/hr,57601
1676,59719,Phulera - Rewari Passenger (UnReserved),Pass,NWR,No Speed Change,NULL,NULL,FL,11:30,RE,16:30,5h 0m,26,SMTWTFS,NULL,216 km,43 km/hr,59720
1677,59720,Rewari - Phulera Passenger (UnReserved),Pass,NWR,No Speed Change,NULL,NULL,RE,09:05,FL,14:25,5h 20m,26,SMTWTFS,NULL,216 km,40 km/hr,59719
1678,57601,Kacheguda - Karimnagar Passenger (UnReserved),Pass,SCR,Dest Changed.,NULL,NULL,KCG,06:00,KRMR,14:00,8h 0m,32,SMTWTFS,NULL,309 km,39 km/hr,57602
1679,58428,Gunupur - Palasa Passenger (UnReserved),Pass,ECoR,Speeded: 20m,NULL,NULL,GNPR,21:10,PSA,00:40,3h 30m,7,SMTWTFS,NULL,116 km,33 km/hr,58427
1680,58427,Palasa - Gunupur Passenger (UnReserved),Pass,ECoR,No Speed Change,NULL,NULL,PSA,03:00,GNPR,05:55,2h 55m,7,SMTWTFS,NULL,116 km,40 km/hr,58428
1681,55701,Malda Town-Katihar Passenger (UnReserved),Pass,NFR,Slowed: 5m,NULL,NULL,MLDT,07:00,KIR,10:50,3h 50m,18,SMTWTFS,NULL,92 km,24 km/hr,55702
1682,56882,Villupuram - Tirupati Passenger (UnReserved),Pass,SR,No Speed Change,NULL,NULL,VM,04:50,TPTY,12:40,7h 50m,28,SMTWTFS,NULL,265 km,34 km/hr,56885
1683,56885,Tirupati - Villupuram Passenger (UnReserved),Pass,SR,No Speed Change,NULL,NULL,TPTY,13:35,VM,20:45,7h 10m,29,SMTWTFS,NULL,265 km,37 km/hr,56882
1684,53034,Rampurhat - Azimganj Passenger (UnReserved),Pass,ER,No Speed Change,NULL,NULL,RPH,15:45,AZ,17:30,1h 45m,9,SMTWTFS,NULL,59 km,34 km/hr,53025
1685,53025,Azimganj - Rampurhat Passenger (UnReserved),Pass,ER,No Speed Change,NULL,NULL,AZ,09:15,RPH,11:05,1h 50m,9,SMTWTFS,NULL,59 km,32 km/hr,53034
1686,54826,Bilara - Jodhpur Passenger (UnReserved),Pass,NWR,No Speed Change,NULL,NULL,BARA,05:00,JU,08:45,3h 45m,10,SMTWTFS,NULL,88 km,23 km/hr,54825
1687,54825,Jodhpur - Bilara Passenger (UnReserved),Pass,NWR,Speeded: 20m,NULL,NULL,JU,18:10,BARA,21:05,2h 55m,10,SMTWTFS,NULL,88 km,30 km/hr,54826
1688,54760,Suratgarh - Shri Ganganagar Passenger (UnReserved),Pass,NWR,No Speed Change,NULL,NULL,SOG,12:30,SGNR,15:25,2h 55m,14,SMTWTFS,NULL,137 km,47 km/hr,54759
1689,54759,Shri Ganganagar - Suratgarh Passenger (UnReserved),Pass,NWR,Speeded: 5m,NULL,NULL,SGNR,09:05,SOG,12:00,2h 55m,15,SMTWTFS,NULL,137 km,47 km/hr,54760
1690,54761,Shri Ganganagar - Suratgarh Passenger (UnReserved),Pass,NWR,Slowed: 10m,NULL,NULL,SGNR,16:10,SOG,19:20,3h 10m,14,SMTWTFS,NULL,137 km,43 km/hr,54760
1691,54762,Suratgarh - Shri Ganganagar passenger (UnReserved),Pass,NWR,Slowed: 10m,NULL,NULL,SOG,07:45,SGNR,10:55,3h 10m,14,SMTWTFS,NULL,137 km,43 km/hr,54761
1692,56034,Mannargudi - Mayiladuthurai Passenger (UnReserved),Pass,SR,Speeded: 10m,NULL,NULL,MQ,08:30,MV,10:50,2h 20m,8,SMTWTFS,NULL,76 km,33 km/hr,56033
1693,56033,Mayiladuthurai - Mannargudi Passenger (UnReserved),Pass,SR,No Speed Change,NULL,NULL,MV,16:40,MQ,18:55,2h 15m,8,SMTWTFS,NULL,76 km,34 km/hr,56034
1694,56800,Sengottai - Tirunelveli Passenger (UnReserved),Pass,SR,No Speed Change,NULL,NULL,SCT,10:15,TEN,12:30,2h 15m,15,SMTWTFS,NULL,80 km,36 km/hr,56801
1695,56801,Tirunelveli - Sengottai Passenger (UnReserved),Pass,SR,Speeded: 5m,NULL,NULL,TEN,07:00,SCT,09:15,2h 15m,15,SMTWTFS,NULL,80 km,36 km/hr,56800
1696,56797,Tirunelveli - Sengottai Passenger (UnReserved),Pass,SR,Dest Changed.,NULL,NULL,TEN,09:20,SCT,11:30,2h 10m,15,SMTWTFS,NULL,80 km,37 km/hr,56728
1697,55141,Gorakhpur - Nautanwa Passenger (UnReserved),Pass,NER,Speeded: 5m,NULL,NULL,GKP,08:00,NTV,11:05,3h 5m,17,SMTWTFS,NULL,82 km,26 km/hr,55142
1698,57590,Manmad - Nagarsol Passenger (UnReserved),Pass,SCR,No TT Change,NULL,NULL,MMR,23:15,NSL,00:20,1h 5m,1,SMTWTFS,NULL,23 km,21 km/hr,57541
1699,50119,Diva - Panvel Passenger (UnReserved),Pass,KR,No TT Change,NULL,NULL,DIVA,00:20,PNVL,01:10,0h 50m,4,SMTWTFS,NULL,26 km,31 km/hr,50120
1700,50120,Panvel - Diva Passenger (UnReserved),Pass,KR,No TT Change,NULL,NULL,PNVL,04:45,DIVA,05:30,0h 45m,5,SMTWTFS,NULL,26 km,34 km/hr,50119
1701,56879,Mayiladuthurai - Thiruvarur Passenger (UnReserved),Pass,SR,No Speed Change,NULL,NULL,MV,18:10,TVR,19:10,1h 0m,3,SMTWTFS,NULL,39 km,39 km/hr,56880
1702,53076,Barharwa - Rampurhat Passenger (UnReserved),Pass,ER,No Speed Change,NULL,NULL,BHW,02:10,RPH,04:20,2h 10m,11,SMTWTFS,NULL,79 km,36 km/hr,53075
1703,55465,Alipurduar - Bamanhat Passenger (UnReserved),Pass,NFR,No TT Change,NULL,NULL,APDJ,06:15,BXT,08:50,2h 35m,12,SMTWTFS,NULL,72 km,28 km/hr,55466
1704,55601,Guwahati - Lumding Passenger,Pass,NFR,Slowed: 50m,NULL,NULL,GHY,05:30,LMG,12:15,6h 45m,24,SMTWTFS,SL ,180 km,27 km/hr,55602
1705,55076,Gorakhpur - Siwan Passenger (Via Kaptanganj) (UnReserved),Pass,NER,No Speed Change,NULL,NULL,GKP,19:15,SV,01:20,6h 5m,26,SMTWTFS,NULL,165 km,27 km/hr,55075
1706,55077,Gorakhpur - Barhni Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,GKP,10:35,BNY,14:30,3h 55m,20,SMTWTFS,NULL,113 km,29 km/hr,55078
1707,55079,Bettiah - Gorakhpur Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,BTH,08:45,GKP,15:00,6h 15m,26,SMTWTFS,NULL,186 km,30 km/hr,55080
1708,55081,Narkatiaganj - Gorakhpur Passenger (UnReserved),Pass,NER,Speeded: 35m,NULL,NULL,NKE,23:35,GKP,05:10,5h 35m,14,SMTWTFS,NULL,150 km,27 km/hr,55082
1709,55078,Barhni - Gorakhpur Passenger (UnReserved),Pass,NER,Speeded: 10m,NULL,NULL,BNY,15:20,GKP,18:40,3h 20m,20,SMTWTFS,NULL,113 km,34 km/hr,55077
1710,54019,Rewari - Rohtak Passenger ( via Jhajjar ) (UnReserved),Pass,NR,No Speed Change,NULL,NULL,RE,05:05,ROK,06:45,1h 40m,6,SMTWTFS,NULL,81 km,49 km/hr,54020
1711,54020,Rohtak - Rewari Passenger (via Jhajjar) (UnReserved),Pass,NR,No TT Change,NULL,NULL,ROK,19:30,RE,21:25,1h 55m,6,SMTWTFS,NULL,81 km,42 km/hr,54019
1712,55709,Singhabad - Old Malda Passenger (UnReserved),Pass,NFR,No TT Change,NULL,NULL,SQB,08:30,OMLF,09:40,1h 10m,2,SMTWTFS,NULL,25 km,21 km/hr,55710
1713,55710,Old Malda - Singhabad Passenger (UnReserved),Pass,NFR,No TT Change,NULL,NULL,OMLF,06:15,SQB,07:20,1h 5m,2,SMTWTFS,NULL,25 km,23 km/hr,55709
1714,55466,Bamanhat - Alipurduar Passenger (UnReserved),Pass,NFR,No Speed Change,NULL,NULL,BXT,16:15,APDJ,19:00,2h 45m,12,SMTWTFS,NULL,72 km,26 km/hr,55465
1715,55702,Katihar - Malda Town Passenger (UnReserved),Pass,NFR,Slowed: 55m,NULL,NULL,KIR,14:50,MLDT,18:45,3h 55m,18,SMTWTFS,NULL,92 km,23 km/hr,55701
1716,55703,Malda Court - Katihar Passenger (UnReserved),Pass,NFR,Slowed: 31m,NULL,NULL,MLFC,14:15,KIR,18:00,3h 45m,18,SMTWTFS,NULL,91 km,24 km/hr,55704
1717,55704,Katihar - Malda Court Passenger (UnReserved),Pass,NFR,Speeded: 15m,NULL,NULL,KIR,08:10,MLFC,11:15,3h 5m,18,SMTWTFS,NULL,91 km,30 km/hr,55703
1718,59549,Sankalp Fast Passenger,Pass,WR,No Speed Change,NULL,NULL,BRC,08:20,ADI,10:40,2h 20m,6,SMTWTFS,SL ,100 km,43 km/hr,59550
1719,59550,Sankalp Fast Passenger,Pass,WR,No Speed Change,NULL,NULL,ADI,15:10,BRC,17:30,2h 20m,6,SMTWTFS,SL ,100 km,43 km/hr,59549
1720,56876,Mayiladuthurai - Villupuram Passenger (UnReserved),Pass,SR,Slowed: 5m,NULL,NULL,MV,15:45,VM,18:50,3h 5m,20,SMTWTFS,NULL,122 km,40 km/hr,56875
1721,56875,Villupuram - Mayiladuthurai Passenger (UnReserved),Pass,SR,No TT Change,NULL,NULL,VM,14:30,MV,17:40,3h 10m,20,SMTWTFS,NULL,122 km,39 km/hr,56876
1722,56884,Villupuram - Tirupati Passenger (UnReserved),Pass,SR,Speeded: 10m,NULL,NULL,VM,16:35,TPTY,23:30,6h 55m,29,SMTWTFS,NULL,265 km,38 km/hr,56883
1723,56886,Villupuram - Katpadi Passenger (UnReserved),Pass,SR,Speeded: 5m,NULL,NULL,VM,18:55,KPD,23:00,4h 5m,17,SMTWTFS,NULL,161 km,39 km/hr,56881
1724,56881,Katpadi - Villupuram Passenger (UnReserved),Pass,SR,No Speed Change,NULL,NULL,KPD,04:55,VM,09:15,4h 20m,16,SMTWTFS,NULL,161 km,37 km/hr,56886
1725,56883,Katpadi-Villupuram Passenger (UnReserved),Pass,SR,No Speed Change,NULL,NULL,KPD,06:40,VM,11:10,4h 30m,17,SMTWTFS,NULL,161 km,36 km/hr,56884
1726,56871,Mayiladuthurai - Thiruvarur Passenger (UnReserved),Pass,SR,No Speed Change,NULL,NULL,MV,06:20,TVR,07:25,1h 5m,3,SMTWTFS,NULL,39 km,36 km/hr,56872
1727,56872,Thiruvarur - Mayiladuthurai Passenger (UnReserved),Pass,SR,No Speed Change,NULL,NULL,TVR,08:10,MV,09:15,1h 5m,3,SMTWTFS,NULL,39 km,36 km/hr,56871
1728,56880,Thiruvarur - Mayiladuthurai Passenger (UnReserved),Pass,SR,No Speed Change,NULL,NULL,TVR,20:05,MV,21:05,1h 0m,3,SMTWTFS,NULL,39 km,39 km/hr,56879
1729,04809,Jodhpur - Ramdevra Mela Special (UnReserved),Pass,NWR,Src/Dest Changed.,Aug 27,Sep 09,JU,20:10,RDRA,00:05,3h 55m,7,SMTWTFS,NULL,183 km,47 km/hr,04810
